league,team_name
International,Afghanistan
International,Argentina
International,Austria
International,Bahrain
International,Bangladesh
International,Barbados
International,Belgium
International,Belize
International,Bermuda
International,Bhutan
International,Botswana
International,Brazil
International,Bulgaria
International,Cambodia
International,Canada
International,Cayman Islands
International,Chile
International,China
International,Cook Islands
International,Costa Rica
International,Croatia
International,Cyprus
International,Czech Republic
International,Denmark
International,Eswatini
International,Estonia
International,Fiji
International,Finland
International,France
International,Gambia
International,Germany
International,Ghana
International,Gibraltar
International,Greece
International,Guernsey
International,Hong Kong
International,Hungary
International,Indonesia
International,Iran
International,Ireland
International,Israel
International,Italy
International,Jamaica
International,Japan
International,Jersey
International,Kenya
International,Kuwait
International,Luxembourg
International,Malaysia
International,Mali
International,Malta
International,Mexico
International,Mongolia
International,Mozambique
International,Myanmar
International,Namibia
International,Nepal
International,Netherlands
International,New Zealand
International,Nigeria
International,Norway
International,Oman
International,Pakistan
International,Panama
International,Papua New Guinea
International,Philippines
International,Portugal
International,Qatar
International,Romania
International,Rwanda
International,Samoa
International,Saudi Arabia
International,Scotland
International,Seychelles
International,Sierra Leone
International,Singapore
International,Slovenia
International,South Africa
International,South Korea
International,Spain
International,Sri Lanka
International,St Helena
International,Suriname
International,Swaziland
International,Sweden
International,Switzerland
International,Tanzania
International,Thailand
International,Trinidad and Tobago
International,Turkey
International,Uganda
International,United Arab Emirates
International,United States of America
International,Vanuatu
International,West Indies
International,Zambia
International,Zimbabwe
Indian Premier League (IPL),Chennai Super Kings
Indian Premier League (IPL),Delhi Capitals
Indian Premier League (IPL),Gujarat Titans
Indian Premier League (IPL),Kolkata Knight Riders
Indian Premier League (IPL),Lucknow Super Giants
Indian Premier League (IPL),Mumbai Indians
Indian Premier League (IPL),Punjab Kings
Indian Premier League (IPL),Rajasthan Royals
Indian Premier League (IPL),Royal Challengers Bangalore
Indian Premier League (IPL),Sunrisers Hyderabad
Indian Premier League (IPL),Rising Pune Supergiant
Indian Premier League (IPL),Deccan Chargers
Indian Premier League (IPL),Kochi Tuskers Kerala
Big Bash League (BBL),Adelaide Strikers
Big Bash League (BBL),Brisbane Heat
Big Bash League (BBL),Hobart Hurricanes
Big Bash League (BBL),Melbourne Renegades
Big Bash League (BBL),Melbourne Stars
Big Bash League (BBL),Perth Scorchers
Big Bash League (BBL),Sydney Sixers
Big Bash League (BBL),Sydney Thunder
Pakistan Super League (PSL),Islamabad United
Pakistan Super League (PSL),Karachi Kings
Pakistan Super League (PSL),Lahore Qalandars
Pakistan Super League (PSL),Multan Sultans
Pakistan Super League (PSL),Peshawar Zalmi
Pakistan Super League (PSL),Quetta Gladiators
Caribbean Premier League (CPL),Barbados Royals
Caribbean Premier League (CPL),Guyana Amazon Warriors
Caribbean Premier League (CPL),Jamaica Tallawahs
Caribbean Premier League (CPL),St Kitts and Nevis Patriots
Caribbean Premier League (CPL),St Lucia Kings
Caribbean Premier League (CPL),Trinbago Knight Riders
Bangladesh Premier League (BPL),Chattogram Challengers
Bangladesh Premier League (BPL),Comilla Victorians
Bangladesh Premier League (BPL),Dhaka Dominators
Bangladesh Premier League (BPL),Fortune Barishal
Bangladesh Premier League (BPL),Khulna Tigers
Bangladesh Premier League (BPL),Rangpur Riders
Bangladesh Premier League (BPL),Sylhet Strikers
Lanka Premier League (LPL),Colombo Stars
Lanka Premier League (LPL),Dambulla Aura
Lanka Premier League (LPL),Galle Gladiators
Lanka Premier League (LPL),Jaffna Kings
Lanka Premier League (LPL),Kandy Falcons
The Hundred (England),Birmingham Phoenix
The Hundred (England),London Spirit
The Hundred (England),Manchester Originals
The Hundred (England),Northern Superchargers
The Hundred (England),Oval Invincibles
The Hundred (England),Southern Brave
The Hundred (England),Trent Rockets
The Hundred (England),Welsh Fire
South African T20 Leagues,Durban's Super Giants
South African T20 Leagues,Joburg Super Kings
South African T20 Leagues,MI Cape Town
South African T20 Leagues,Paarl Royals
South African T20 Leagues,Pretoria Capitals
South African T20 Leagues,Sunrisers Eastern Cape
Major League Cricket (USA),Los Angeles Knight Riders
Major League Cricket (USA),MI New York
Major League Cricket (USA),San Francisco Unicorns
Major League Cricket (USA),Seattle Orcas
Major League Cricket (USA),Texas Super Kings
Major League Cricket (USA),Washington Freedom
Domestic Indian Leagues,Uttarakhand
Bangladesh Premier League (BPL),Dhaka Dynamites
Domestic Indian Leagues,Services
Bangladesh Premier League (BPL),Sylhet Sixers
Domestic Indian Leagues,Chhattisgarh
Domestic Indian Leagues,Assam
The Hundred (England),Lancashire Thunder
Big Bash League (BBL),Western Australia
Domestic Indian Leagues,Himachal Pradesh
International,Isle of Man
Bangladesh Premier League (BPL),Rajshahi Royals
Women's T20 Challenge,Trailblazers
The Hundred (England),Yorkshire
Women's T20 Challenge,Supernovas
Domestic Indian Leagues,Hyderabad (India)
Lanka Premier League (LPL),Galle Titans
The Hundred (England),Durham
Lanka Premier League (LPL),B-Love Kandy
Indian Premier League (IPL),Gujarat Lions
The Hundred (England),Nottinghamshire
Bangladesh Premier League (BPL),Durdanto Dhaka
Domestic Indian Leagues,Baroda
The Hundred (England),Sussex
Bangladesh Premier League (BPL),Khulna Royal Bengals
International,Gulf Giants
Bangladesh Premier League (BPL),Dhaka Gladiators
Bangladesh Premier League (BPL),Sylhet Thunder
Indian Premier League (IPL),Gujarat Giants
Big Bash League (BBL),New South Wales
Domestic Indian Leagues,Tripura
International,Malawi
Bangladesh Premier League (BPL),Barisal Bulls
Domestic Indian Leagues,Odisha
Women's T20 Challenge,Velocity
International,Desert Vipers
The Hundred (England),Thunder
Caribbean Premier League (CPL),Barbados Tridents
South African T20 Leagues,Lions
The Hundred (England),Hampshire
International,Barmy Army
The Hundred (England),Northern Diamonds
South African T20 Leagues,Jozi Stars
International,Warriors (FairBreak)
The Hundred (England),Northamptonshire
Bangladesh Premier League (BPL),Rangpur Rangers
International,Central Stags
South African T20 Leagues,Paarl Rocks
Bangladesh Premier League (BPL),Chittagong Vikings
International,MI Emirates
International,Auckland Aces
The Hundred (England),Western Storm
International,Northern Districts
Domestic Indian Leagues,Sikkim
South African T20 Leagues,Dolphins
International,Auckland
Caribbean Premier League (CPL),St Lucia Zouks
International,Wellington Firebirds
Lanka Premier League (LPL),Galle Marvels
Pakistan Super League (PSL),Kabul Zwanan
International,Bahamas
Caribbean Premier League (CPL),Antigua Hawksbills
Caribbean Premier League (CPL),Trinidad & Tobago Red Steel
Domestic Indian Leagues,Nagaland
International,Otago
The Hundred (England),Kent
International,Serbia
South African T20 Leagues,Cape Town Blitz
The Hundred (England),Glamorgan
International,Lesotho
Domestic Indian Leagues,Railways
Pakistan Super League (PSL),Nangarhar Leopards
International,England
Lanka Premier League (LPL),Dambulla Giants
International,Sharjah Warriors
Domestic Indian Leagues,Jharkhand
Domestic Indian Leagues,Tamil Nadu
Domestic Indian Leagues,Rajasthan
Domestic Indian Leagues,Madhya Pradesh
The Hundred (England),Middlesex
The Hundred (England),Southern Vipers
The Hundred (England),Worcestershire
Big Bash League (BBL),Queensland
International,Dubai Capitals
International,Falcons
South African T20 Leagues,Knights
Caribbean Premier League (CPL),Antigua and Barbuda Falcons
The Hundred (England),Leicestershire
Indian Premier League (IPL),Gujarat
Domestic Indian Leagues,Saurashtra
International,Leinster Lightning
Domestic Indian Leagues,Uttar Pradesh
The Hundred (England),Warwickshire
The Hundred (England),Central Sparks
Bangladesh Premier League (BPL),Cumilla Warriors
Domestic Indian Leagues,Karnataka
South African T20 Leagues,Nelson Mandela Bay Giants
Domestic Indian Leagues,Andhra
Domestic Indian Leagues,Vidarbha
Bangladesh Premier League (BPL),Duronto Rajshahi
International,Africa XI
Domestic Indian Leagues,Puducherry
Domestic Indian Leagues,Maharashtra
Domestic Indian Leagues,Mizoram
The Hundred (England),Lancashire
South African T20 Leagues,Warriors
Pakistan Super League (PSL),Balkh Legends
Bangladesh Premier League (BPL),Barisal Burners
Caribbean Premier League (CPL),Windward Islands
Bangladesh Premier League (BPL),Dhaka Platoon
The Hundred (England),Lightning
The Hundred (England),Loughborough Lightning
Bangladesh Premier League (BPL),Khulna Titans
The Hundred (England),Somerset
Lanka Premier League (LPL),Kandy Tuskers
Indian Premier League (IPL),Sunrisers
The Hundred (England),Derbyshire
International,Asia XI
International,Wellington
Domestic Indian Leagues,Meghalaya
Domestic Indian Leagues,Kerala
Indian Premier League (IPL),Kings XI Punjab
International,Otago Volts
Bangladesh Premier League (BPL),Sylhet Royals
Domestic Indian Leagues,Punjab
Bangladesh Premier League (BPL),Minister Group Dhaka
International,Abu Dhabi Knight Riders
Big Bash League (BBL),Tasmania
International,Sapphires
The Hundred (England),Spirit
Indian Premier League (IPL),Rising Pune Supergiants
The Hundred (England),Yorkshire Diamonds
Domestic Indian Leagues,Haryana
Indian Premier League (IPL),UP Warriorz
Lanka Premier League (LPL),Jaffna Stallions
Lanka Premier League (LPL),Dambulla Viiking
Lanka Premier League (LPL),Dambulla Sixers
International,Northern Knights
Domestic Indian Leagues,Goa
The Hundred (England),Gloucestershire
The Hundred (England),Birmingham Bears
Domestic Indian Leagues,Bihar
Caribbean Premier League (CPL),St Lucia Stars
International,ICC World XI
South African T20 Leagues,Boland
Pakistan Super League (PSL),Kandahar Knights
Big Bash League (BBL),South Australia
Indian Premier League (IPL),Delhi Daredevils
Domestic Indian Leagues,Jammu & Kashmir
South African T20 Leagues,Titans
Lanka Premier League (LPL),Colombo Strikers
Domestic Indian Leagues,Manipur
Bangladesh Premier League (BPL),Chittagong Kings
The Hundred (England),Essex
South African T20 Leagues,KwaZulu-Natal Inland
International,Maldives
South African T20 Leagues,Western Province
Caribbean Premier League (CPL),Guyana
Domestic Indian Leagues,Arunachal Pradesh
International,India
Domestic Indian Leagues,Himachal
South African T20 Leagues,Impi
Caribbean Premier League (CPL),Leeward Islands
Bangladesh Premier League (BPL),Sylhet Sunrisers
Bangladesh Premier League (BPL),Rajshahi Kings
International,Australia
South African T20 Leagues,North West
South African T20 Leagues,Cape Cobras
Indian Premier League (IPL),Delhi
Lanka Premier League (LPL),Kandy Warriors
Pakistan Super League (PSL),Paktia Panthers
International,Munster Reds
Big Bash League (BBL),Victoria
International,North-West Warriors
South African T20 Leagues,Durban Heat
The Hundred (England),Surrey
International,Tornadoes
Lanka Premier League (LPL),Colombo Kings
International,Cameroon
Bangladesh Premier League (BPL),Sylhet Super Stars
International,Canterbury
South African T20 Leagues,Tshwane Spartans
Domestic Indian Leagues,Bengal
The Hundred (England),The Blaze
Domestic Indian Leagues,Chandigarh
The Hundred (England),South East Stars
International,Central Districts
Indian Premier League (IPL),Mumbai
The Hundred (England),Surrey Stars
Indian Premier League (IPL),Pune Warriors
